resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-clientStatus","7640740","7640739","7640721","2013-03-26T13:30:46.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7693143","7640739","7640721","2013-04-02T09:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7693410","7640739","7640721","2013-04-02T10:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7693665","7640739","7640721","2013-04-02T11:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7693927","7640739","7640721","2013-04-02T12:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7694233","7640739","7640721","2013-04-02T13:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7694685","7640739","7640721","2013-04-02T15:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7694911","7640739","7640721","2013-04-02T16:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7695135","7640739","7640721","2013-04-02T17:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7695356","7640739","7640721","2013-04-02T18:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7695573","7640739","7640721","2013-04-02T19:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7695788","7640739","7640721","2013-04-02T20:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7696006","7640739","7640721","2013-04-02T21:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7696224","7640739","7640721","2013-04-02T22:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7696446","7640739","7640721","2013-04-02T23:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7696669","7640739","7640721","2013-04-03T00:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7696892","7640739","7640721","2013-04-03T01:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7697119","7640739","7640721","2013-04-03T02:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7697334","7640739","7640721","2013-04-03T03:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7697556","7640739","7640721","2013-04-03T04:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7697766","7640739","7640721","2013-04-03T05:18:04.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7697983","7640739","7640721","2013-04-03T06:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7698203","7640739","7640721","2013-04-03T07:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7698426","7640739","7640721","2013-04-03T08:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7698642","7640739","7640721","2013-04-03T09:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7698926","7640739","7640721","2013-04-03T10:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7699245","7640739","7640721","2013-04-03T11:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7699549","7640739","7640721","2013-04-03T12:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7699846","7640739","7640721","2013-04-03T13:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7700150","7640739","7640721","2013-04-03T14:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7700456","7640739","7640721","2013-04-03T15:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7700767","7640739","7640721","2013-04-03T16:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7701075","7640739","7640721","2013-04-03T17:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7701390","7640739","7640721","2013-04-03T18:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7701695","7640739","7640721","2013-04-03T19:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7701998","7640739","7640721","2013-04-03T20:18:00.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7702304","7640739","7640721","2013-04-03T21:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7702616","7640739","7640721","2013-04-03T22:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7702922","7640739","7640721","2013-04-03T23:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7703231","7640739","7640721","2013-04-04T00:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7703539","7640739","7640721","2013-04-04T01:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7703857","7640739","7640721","2013-04-04T02:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7704158","7640739","7640721","2013-04-04T03:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7704462","7640739","7640721","2013-04-04T04:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7704765","7640739","7640721","2013-04-04T05:18:05.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7705063","7640739","7640721","2013-04-04T06:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7705366","7640739","7640721","2013-04-04T07:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7705674","7640739","7640721","2013-04-04T08:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7705979","7640739","7640721","2013-04-04T09:18:01.000-04:00","Success","","search_output","Success"
