resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","openstack-create-publicvm","4198523","4198522","4198512","2011-10-14T18:15:54.000-04:00","Failure","Command 'sh nova novakey ami-00000028' failed with exit code 127","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4238233","4238232","4198579","2011-10-20T15:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 65.951917 s ping 30.003969 s ssh 30.259656 s destroy 0.435997 s","Success"
"iu-india","	","openstack-create-publicvm","4239085","4239084","4198579","2011-10-20T18:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.368136 s ping 30.004245 s ssh 30.209808 s destroy 0.459885 s","Success"
"iu-india","	","openstack-create-publicvm","4239973","4239972","4198579","2011-10-20T21:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.356429 s ping 30.003756 s ssh 30.207087 s destroy 0.478545 s","Success"
"iu-india","	","openstack-create-publicvm","4240794","4216994","4198579","2011-10-21T00:43:07.000-04:00","Failure","Command 'sh ~/nova/runinstance.sh novakey ami-00000028' failed with exit code 1","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4241628","4241624","4198579","2011-10-21T03:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.18131 s ping 30.00337 s ssh 30.540899 s destroy 0.501477 s","Success"
"iu-india","	","openstack-create-publicvm","4242483","4242482","4198579","2011-10-21T06:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.421113 s ping 30.012753 s ssh 30.340613 s destroy 0.455096 s","Success"
"iu-india","	","openstack-create-publicvm","4243333","4243332","4198579","2011-10-21T09:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.427867 s ping 30.003264 s ssh 30.182058 s destroy 0.462531 s","Success"
"iu-india","	","openstack-create-publicvm","4244188","4244185","4198579","2011-10-21T12:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.450997 s ping 30.010762 s ssh 30.240837 s destroy 0.4708 s","Success"
"iu-india","	","openstack-create-publicvm","4245040","4245039","4198579","2011-10-21T15:46:18.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 97.856636 s ping 30.011432 s ssh 32.384055 s destroy 0.474512 s","Success"
"iu-india","	","openstack-create-publicvm","4245911","4245905","4198579","2011-10-21T18:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.562929 s ping 30.017899 s ssh 30.222133 s destroy 0.478244 s","Success"
"iu-india","	","openstack-create-publicvm","4246786","4246785","4198579","2011-10-21T21:45:41.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 96.670055 s ping 30.004081 s ssh 30.233226 s destroy 0.472204 s","Success"
"iu-india","	","openstack-create-publicvm","4247625","4247624","4198579","2011-10-22T00:44:37.000-04:00","Failure","cloud client not in running status after 900 seconds","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4248464","4248463","4198579","2011-10-22T03:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.300911 s ping 30.003527 s ssh 30.319015 s destroy 0.483532 s","Success"
"iu-india","	","openstack-create-publicvm","4249306","4249305","4198579","2011-10-22T06:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.398706 s ping 30.003562 s ssh 30.2477 s destroy 0.462288 s","Success"
"iu-india","	","openstack-create-publicvm","4250154","4250153","4198579","2011-10-22T09:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.389676 s ping 30.003568 s ssh 30.259948 s destroy 0.463145 s","Success"
"iu-india","	","openstack-create-publicvm","4251020","4251019","4198579","2011-10-22T12:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.398814 s ping 30.005131 s ssh 30.180753 s destroy 0.468939 s","Success"
"iu-india","	","openstack-create-publicvm","4251865","4251864","4198579","2011-10-22T15:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.635243 s ping 30.003634 s ssh 30.570597 s destroy 0.46096 s","Success"
"iu-india","	","openstack-create-publicvm","4252712","4252711","4198579","2011-10-22T18:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.426829 s ping 30.002877 s ssh 30.221738 s destroy 0.472261 s","Success"
"iu-india","	","openstack-create-publicvm","4253574","4253572","4198579","2011-10-22T21:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.360784 s ping 30.034212 s ssh 30.212862 s destroy 0.509552 s","Success"
"iu-india","	","openstack-create-publicvm","4254394","4254393","4198579","2011-10-23T00:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.447582 s ping 30.003067 s ssh 30.192879 s destroy 0.452314 s","Success"
"iu-india","	","openstack-create-publicvm","4255225","4216994","4198579","2011-10-23T03:43:17.000-04:00","Failure","Command 'sh ~/nova/runinstance.sh novakey ami-00000028' failed with exit code 1","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4256070","4256069","4198579","2011-10-23T06:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.339243 s ping 30.004784 s ssh 30.232743 s destroy 0.47254 s","Success"
"iu-india","	","openstack-create-publicvm","4256908","4256907","4198579","2011-10-23T09:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.208734 s ping 30.003576 s ssh 30.282009 s destroy 0.474301 s","Success"
"iu-india","	","openstack-create-publicvm","4257760","4247624","4198579","2011-10-23T12:44:06.000-04:00","Failure","cloud client not in running status after 900 seconds","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4258600","4258599","4198579","2011-10-23T15:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.461883 s ping 30.003619 s ssh 30.262881 s destroy 0.458223 s","Success"
"iu-india","	","openstack-create-publicvm","4259434","4259433","4198579","2011-10-23T18:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.415508 s ping 30.004829 s ssh 30.220287 s destroy 0.469851 s","Success"
"iu-india","	","openstack-create-publicvm","4260263","4260262","4198579","2011-10-23T21:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.517079 s ping 30.004384 s ssh 30.205903 s destroy 0.47279 s","Success"
"iu-india","	","openstack-create-publicvm","4261098","4261093","4198579","2011-10-24T00:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.554009 s ping 30.004321 s ssh 30.227492 s destroy 0.532199 s","Success"
"iu-india","	","openstack-create-publicvm","4261931","4261930","4198579","2011-10-24T03:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.350925 s ping 30.003861 s ssh 30.224787 s destroy 0.539788 s","Success"
"iu-india","	","openstack-create-publicvm","4262759","4262757","4198579","2011-10-24T06:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.41142 s ping 30.005038 s ssh 30.180715 s destroy 0.454172 s","Success"
"iu-india","	","openstack-create-publicvm","4263905","4218728","4198579","2011-10-24T10:51:04.000-04:00","Failure","Can SSH into all VMs but  not able to externally connect from any of the 1 VMs","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4264440","4264439","4198579","2011-10-24T12:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.357214 s ping 30.00396 s ssh 30.187647 s destroy 0.515944 s","Success"
"iu-india","	","openstack-create-publicvm","4265280","4247624","4198579","2011-10-24T15:44:07.000-04:00","Failure","cloud client not in running status after 900 seconds","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4266150","4266149","4198579","2011-10-24T18:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.363807 s ping 30.00323 s ssh 30.236855 s destroy 0.465789 s","Success"
"iu-india","	","openstack-create-publicvm","4266996","4247624","4198579","2011-10-24T21:44:09.000-04:00","Failure","cloud client not in running status after 900 seconds","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4267835","4267834","4198579","2011-10-25T00:45:14.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.471671 s ping 30.005048 s ssh 30.26195 s destroy 0.465164 s","Success"
"iu-india","	","openstack-create-publicvm","4268671","4268670","4198579","2011-10-25T03:45:41.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 96.72709 s ping 30.003983 s ssh 30.21263 s destroy 0.462669 s","Success"
"iu-india","	","openstack-create-publicvm","4269513","4269512","4198579","2011-10-25T06:45:13.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.311782 s ping 30.004729 s ssh 30.193956 s destroy 0.443263 s","Success"
"iu-india","	","openstack-create-publicvm","4270342","4270340","4198579","2011-10-25T09:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.448988 s ping 30.003522 s ssh 30.356703 s destroy 0.454708 s","Success"
"iu-india","	","openstack-create-publicvm","4271200","4271199","4198579","2011-10-25T12:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.244275 s ping 30.003649 s ssh 30.179989 s destroy 0.482818 s","Success"
"iu-india","	","openstack-create-publicvm","4272073","4272068","4198579","2011-10-25T15:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.398471 s ping 30.013057 s ssh 30.181737 s destroy 0.459418 s","Success"
"iu-india","	","openstack-create-publicvm","4273074","4273069","4198579","2011-10-25T18:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.295644 s ping 30.003855 s ssh 30.220088 s destroy 0.462609 s","Success"
"iu-india","	","openstack-create-publicvm","4273909","4247624","4198579","2011-10-25T21:44:09.000-04:00","Failure","cloud client not in running status after 900 seconds","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4274756","4274755","4198579","2011-10-26T00:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.531024 s ping 30.003628 s ssh 30.272956 s destroy 0.464529 s","Success"
"iu-india","	","openstack-create-publicvm","4275580","4275579","4198579","2011-10-26T03:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.398156 s ping 30.003708 s ssh 30.215766 s destroy 0.446726 s","Success"
"iu-india","	","openstack-create-publicvm","4276416","4276414","4198579","2011-10-26T06:45:13.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.659021 s ping 30.004249 s ssh 30.2076 s destroy 0.573363 s","Success"
"iu-india","	","openstack-create-publicvm","4277261","4277260","4198579","2011-10-26T09:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.539411 s ping 30.004015 s ssh 30.357785 s destroy 0.447888 s","Success"
"iu-india","	","openstack-create-publicvm","4278133","4278132","4198579","2011-10-26T12:45:44.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 96.67538 s ping 30.003606 s ssh 30.262222 s destroy 0.455404 s","Success"
"iu-india","	","openstack-create-publicvm","4278968","4278967","4198579","2011-10-26T15:45:10.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.161055 s ping 30.003992 s ssh 30.224055 s destroy 0.509139 s","Success"
"iu-india","	","openstack-create-publicvm","4279813","4279812","4198579","2011-10-26T18:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.194175 s ping 30.004313 s ssh 30.264355 s destroy 0.447951 s","Success"
"iu-india","	","openstack-create-publicvm","4280644","4280643","4198579","2011-10-26T21:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.244324 s ping 30.003955 s ssh 30.187741 s destroy 0.54379 s","Success"
"iu-india","	","openstack-create-publicvm","4281479","4281478","4198579","2011-10-27T00:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.451315 s ping 30.005517 s ssh 30.196017 s destroy 0.470438 s","Success"
"iu-india","	","openstack-create-publicvm","4282302","4282301","4198579","2011-10-27T03:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.341229 s ping 30.003288 s ssh 30.225912 s destroy 0.458333 s","Success"
"iu-india","	","openstack-create-publicvm","4283143","4283142","4198579","2011-10-27T06:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.185613 s ping 30.00362 s ssh 30.207156 s destroy 0.464214 s","Success"
"iu-india","	","openstack-create-publicvm","4283969","4283967","4198579","2011-10-27T09:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.321715 s ping 30.004026 s ssh 30.182784 s destroy 0.471937 s","Success"
"iu-india","	","openstack-create-publicvm","4284827","4284826","4198579","2011-10-27T12:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.479915 s ping 30.003438 s ssh 30.175622 s destroy 0.463844 s","Success"
