resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-create-publicvm","7640774","7640773","7640729","2013-03-26T13:33:57.000-04:00","Failure","Can SSH into all VMs but  not able to externally connect from any of the 1 VMs","","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","openstack-create-publicvm","7686291","7686290","7641142","2013-04-01T11:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 63.321859 s ping 30.533214 s warnings 1 ssh 31.817211 s destroy 0.682707 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7687247","7687246","7641142","2013-04-01T14:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.129652 s ping 30.031929 s warnings 1 ssh 30.968628 s destroy 0.56173 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7688219","7688218","7641142","2013-04-01T17:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.173055 s ping 30.03108 s warnings 1 ssh 30.98928 s destroy 0.626017 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7689181","7689180","7641142","2013-04-01T20:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.33836 s ping 30.033753 s warnings 1 ssh 31.04093 s destroy 0.557588 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7690140","7690139","7641142","2013-04-01T23:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.247824 s ping 30.033413 s warnings 1 ssh 31.060607 s destroy 0.664471 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7691103","7691102","7641142","2013-04-02T02:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.296813 s ping 30.031755 s warnings 1 ssh 30.978774 s destroy 0.595286 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7692079","7692078","7641142","2013-04-02T05:56:09.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.292527 s ping 30.044208 s warnings 1 ssh 31.044033 s destroy 0.64601 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7693024","7693023","7641142","2013-04-02T08:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.262983 s ping 30.033092 s warnings 1 ssh 31.001732 s destroy 0.57222 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7693829","7693828","7641142","2013-04-02T11:56:07.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.425057 s ping 30.035122 s warnings 1 ssh 30.998334 s destroy 0.559986 s","Success"
"tacc-alamo","	","openstack-create-publicvm","7694600","7694599","7641142","2013-04-02T14:56:06.000-04:00","Success","","cloud-create cloudcreate img ami-0000000a create 62.364527 s ping 30.031991 s warnings 1 ssh 30.98604 s destroy 0.557665 s","Success"
