resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","eucalyptus-storage","1588970","1588969","1588960","2010-11-10T19:19:59.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1614338","1590227","1590219","2010-11-13T15:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1614713","1590227","1590219","2010-11-13T16:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1615088","1590227","1590219","2010-11-13T17:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1615464","1590227","1590219","2010-11-13T18:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1615843","1590227","1590219","2010-11-13T19:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1616220","1590227","1590219","2010-11-13T20:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1616596","1590227","1590219","2010-11-13T21:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1616974","1590227","1590219","2010-11-13T22:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1617353","1590227","1590219","2010-11-13T23:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1617732","1590227","1590219","2010-11-14T00:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1618109","1590227","1590219","2010-11-14T01:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1618485","1590227","1590219","2010-11-14T02:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1618863","1590227","1590219","2010-11-14T03:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1619241","1590227","1590219","2010-11-14T04:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1619616","1590227","1590219","2010-11-14T05:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1619990","1590227","1590219","2010-11-14T06:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1620366","1590227","1590219","2010-11-14T07:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1620752","1590227","1590219","2010-11-14T08:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1621129","1590227","1590219","2010-11-14T09:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1621519","1590227","1590219","2010-11-14T10:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1621905","1590227","1590219","2010-11-14T11:02:04.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1622280","1590227","1590219","2010-11-14T12:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1622660","1590227","1590219","2010-11-14T13:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1623045","1590227","1590219","2010-11-14T14:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1623426","1590227","1590219","2010-11-14T15:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1623801","1590227","1590219","2010-11-14T16:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1624176","1590227","1590219","2010-11-14T17:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1624552","1590227","1590219","2010-11-14T18:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1624931","1590227","1590219","2010-11-14T19:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1625308","1590227","1590219","2010-11-14T20:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1625686","1590227","1590219","2010-11-14T21:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1626063","1590227","1590219","2010-11-14T22:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1626445","1590227","1590219","2010-11-14T23:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1626824","1590227","1590219","2010-11-15T00:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1627203","1590227","1590219","2010-11-15T01:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1627579","1590227","1590219","2010-11-15T02:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1627957","1590227","1590219","2010-11-15T03:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1628335","1590227","1590219","2010-11-15T04:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
