resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","eucalyptus-clientStatus","1484045","1484044","1483987","2010-10-28T13:17:25.000-04:00","Failure","Not all expressions found in output: "AVAILABILITYZONEs+india"","","Failure:errorMessage"
"iu-india","	","eucalyptus-clientStatus","1550239","1484071","1484061","2010-11-05T03:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1550586","1484071","1484061","2010-11-05T04:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1550933","1484071","1484061","2010-11-05T05:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1551280","1484071","1484061","2010-11-05T06:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1551629","1484071","1484061","2010-11-05T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1551994","1484071","1484061","2010-11-05T08:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1552369","1484071","1484061","2010-11-05T09:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1552722","1484071","1484061","2010-11-05T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1553077","1484071","1484061","2010-11-05T11:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1553424","1484071","1484061","2010-11-05T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1553784","1484071","1484061","2010-11-05T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1554144","1484071","1484061","2010-11-05T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1554505","1484071","1484061","2010-11-05T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1554852","1484071","1484061","2010-11-05T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1555200","1484071","1484061","2010-11-05T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1555547","1484071","1484061","2010-11-05T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1555901","1484071","1484061","2010-11-05T19:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1556267","1484071","1484061","2010-11-05T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1556615","1484071","1484061","2010-11-05T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1556966","1484071","1484061","2010-11-05T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1557313","1484071","1484061","2010-11-05T23:28:01.000-04:00","Success","","search_output","Success"
