resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-storage","7640747","7640746","7640725","2013-03-26T13:31:24.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7668042","7640746","7640725","2013-03-30T02:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7668364","7640746","7640725","2013-03-30T03:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7668684","7640746","7640725","2013-03-30T04:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7669001","7640746","7640725","2013-03-30T05:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7669312","7640746","7640725","2013-03-30T06:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7669630","7640746","7640725","2013-03-30T07:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7669950","7640746","7640725","2013-03-30T08:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7670279","7640746","7640725","2013-03-30T09:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7670593","7640746","7640725","2013-03-30T10:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7670906","7640746","7640725","2013-03-30T11:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7671201","7640746","7640725","2013-03-30T12:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7671498","7640746","7640725","2013-03-30T13:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7671801","7640746","7640725","2013-03-30T14:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7672105","7640746","7640725","2013-03-30T15:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7672413","7640746","7640725","2013-03-30T16:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7672738","7640746","7640725","2013-03-30T17:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7673067","7640746","7640725","2013-03-30T18:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7673379","7640746","7640725","2013-03-30T19:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7673689","7640746","7640725","2013-03-30T20:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7674019","7640746","7640725","2013-03-30T21:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7674342","7640746","7640725","2013-03-30T22:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7674657","7640746","7640725","2013-03-30T23:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7674976","7640746","7640725","2013-03-31T00:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7675302","7640746","7640725","2013-03-31T01:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7675627","7640746","7640725","2013-03-31T02:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7675945","7640746","7640725","2013-03-31T03:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7676265","7640746","7640725","2013-03-31T04:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7676578","7640746","7640725","2013-03-31T05:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7676883","7640746","7640725","2013-03-31T06:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7677202","7640746","7640725","2013-03-31T07:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7677524","7640746","7640725","2013-03-31T08:22:03.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7677843","7640746","7640725","2013-03-31T09:22:01.000-04:00","Success","","search_output","Success"
